order,ObjectID,ObjectName,CollectionID,Collection,DateBeginYear,DateEndYear,DateText,Title,Classification,Creator,PrimaryImage
0,61,drawings (visual works),7,18th and 19th Century Art,1854,1854,1854,Temptation on the Mount,Painting & Drawing,"Jean-Marie Saint-Eve (French, 1810-1856)",http://static.thewalters.org/images/PL7_37.916_Fnt_NF_T83-tms.jpg
1,86,snuffboxes; mosaics,7,18th and 19th Century Art,1825,1875,mid 19th century,Snuffbox with Mosaic of a Seated Dog,Mosaics & Cosmati,Venetian (Italian),http://static.thewalters.org/images/PL9_43.10_Fnt_SL_T.jpg
2,103,oil paintings (visual works),8,Renaissance and Baroque Art,1508,1513,1508-1513,Holy Family with Zacharias and the Young Saint John the Baptist,Painting & Drawing,"Francesco Rizzo da Santacroce (Italian, active late 15th-early 16th century)",http://static.thewalters.org/images/PL7_37.569_Fnt_BW.jpg
3,115,color woodcuts,1,East Asian Art,1838,1862,ca. 1850,Green Grocer Hanbei Traveling in the Country,Prints,"Sadanobu I (Japanese, 1809-1879)",http://static.thewalters.org/images/PS3_95.736_Fnt_DD_JP09.jpg
4,130,color woodcuts,1,East Asian Art,1864,1864,1864,Chushin gishi meimei den,Prints,"Yoshitora (Japanese, active ca. 1850-1880)",http://static.thewalters.org/images/PS3_95.823_Fnt_DD_JP09.jpg
5,155,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Indian Girl with Papoose Crossing Stream,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.14_Fnt_DD_KI13.jpg
6,178,panel paintings,8,Renaissance and Baroque Art,1481,1507,ca. 1493-1495,Sulpicia,Painting & Drawing,"Pietro di Francesco degli Orioli (Italian, 1458-1496)",http://static.thewalters.org/images/ARG_37.616_Fnt_UK.jpg
7,182,paintings,8,Renaissance and Baroque Art,1488,1512,ca. 1500,Portrait Bust of Perugino,Painting & Drawing,Venetian (Italian),http://static.thewalters.org/images/PL7_37.1060_Fnt_BW.jpg
8,213,paintings,65,South and Southeast Asian Art,1875,1900,late 19th century,"Vessantara Jataka, Chapter 7: Jujaka and the Hermit Accala",Painting & Drawing,Thai,http://static.thewalters.org/images/PS1_35.236_Fnt_DD_T12.jpg
9,214,albums (books); drawings,7,18th and 19th Century Art,1855,1859,1855-1859,Mrs. Keller as the Goddess of Liberty,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2453.40_Fnt_DD_KI13.jpg
10,231,paintings,65,South and Southeast Asian Art,1830,1860,1830-1860,"Vessantara Jataka, Chapter 13 (The Return to the Captial)",Painting & Drawing,Thai,http://static.thewalters.org/images/PS1_35.276_Fnt_DD_T12.jpg
11,238,paintings,8,Renaissance and Baroque Art,1515,1525,1515-1525,Rest on the Flight into Egypt,Painting & Drawing,"Master of the Mansi Magdalen (Netherlandish, active 1510-1525)",http://static.thewalters.org/images/PL9_37.389_Fnt_SL_C80.jpg
12,254,drawings (visual works),7,18th and 19th Century Art,1860,1860,1860,Old Woman Leaning on a Stick,Painting & Drawing,"Ludwig Knaus (German, 1829-1910)",http://static.thewalters.org/images/PS1_37.1245_Fnt_DD_T10.jpg
13,258,color woodcuts,1,East Asian Art,1878,1878,1878,Dai Nippon meisho kagami,Prints,"Taiso Yoshitoshi (Japanese, 1839-1892)",http://static.thewalters.org/images/PS3_95.612_Fnt_DD_JP09.jpg
14,282,albums (books); paintings; folios (leaves),1,East Asian Art,1876,1876,1876,"Leaf from Album Depicting Birds, Flowers, Landscapes, and Flower Pots",Painting & Drawing,"Yoshizawa Setsuan (Japanese, 1809-1889)",http://static.thewalters.org/images/PS3_35.174.9A_Fnt_DD_T09.jpg
15,283,oil paintings (visual works),8,Renaissance and Baroque Art,1650,1700,1650-1700,The Magnanimity of Scipio,Painting & Drawing,Venetian (Italian),http://static.thewalters.org/images/PL7_37.1804_Fnt_BW.jpg
16,288,paintings,7,18th and 19th Century Art,1800,1899,19th century,Fashionable Woman at Prayer,Painting & Drawing,F. Kommerer,http://static.thewalters.org/images/PS1_37.1399_Fnt_DD_T09.jpg
17,292,paintings; portraits,8,Renaissance and Baroque Art,1617,1617,1617,Portrait of a Noblewoman,Painting & Drawing,Flemish,http://static.thewalters.org/images/PS1_37.377_FntA_DD_T15-tms.jpg
18,299,watercolors (paintings),7,18th and 19th Century Art,1840,1890,ca. 1865,Landscape with Cottage,Painting & Drawing,"Th\xc3\xa9odore Rousseau (French, 1812-1867)",http://static.thewalters.org/images/PL1_37.966_Fnt_TR_T99I.jpg
19,312,paintings,8,Renaissance and Baroque Art,1601,1700,17th century,Figures Beneath the Walls of a City,Painting & Drawing,Venetian (Italian) (?),http://static.thewalters.org/images/PL7_37.749_Fnt_BW.jpg
20,320,paintings,8,Renaissance and Baroque Art,1601,1700,17th century,Portrait Bust of Inigo Jones,Painting & Drawing,"Copy after Anthony van Dyck (Flemish, 1599-1641)",http://static.thewalters.org/images/PL7_37.803_Fnt_BW_H77.jpg
21,333,watercolors (paintings),7,18th and 19th Century Art,1861,1861,1861,"Certaldo, June 6th, '61",Painting & Drawing,"Samuel Colman (American, 1832 - 1920) (?)",http://static.thewalters.org/images/PS3_37.1546_Fnt_DD_KI13.jpg
22,334,watercolors (paintings),7,18th and 19th Century Art,1847,1847,1847,Soldier's Experience,Painting & Drawing,"Richard Caton Woodville (American, 1825-1855)",http://static.thewalters.org/images/PS1_37.945_Fnt_DD_T09.jpg
23,342,pendants; panel paintings; icons,16,African Art,1675,1700,late 17th century,Double-sided Diptych with Mary at Dabra Metmaq (Front); Saints (Back),Painting & Drawing,Ethiopian,http://static.thewalters.org/images/PL1_36.8_SideA_TR_T01II.jpg
24,344,paintings,8,Renaissance and Baroque Art,1430,1450,1430-1450,Madonna and Child,Painting & Drawing,"Francesco Squarcione (Italian, ca. 1395-after 1468)",http://static.thewalters.org/images/PL1_37.519_Fnt_TR_T90II.jpg
25,355,drawings (visual works),7,18th and 19th Century Art,1835,1835,1835,Lion and Tortoise,Painting & Drawing,"Eug\xc3\xa8ne Delacroix (French, 1798-1863)",http://static.thewalters.org/images/PL7_37.1220_Fnt_BW_6057.jpg
26,369,paintings,8,Renaissance and Baroque Art,1653,1677,ca. 1665,"""Vanitas"" Still Life",Painting & Drawing,"Adam Bernaert (Dutch, active ca. 1660-1669)",http://static.thewalters.org/images/PL9_37.682_Fnt_SL_C80.jpg
27,382,paintings,7,18th and 19th Century Art,1828,1852,ca. 1840,Portrait of Antoine,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS1_37.2573_Fnt_DD_T08.jpg
28,409,emakimono; hand scrolls,1,East Asian Art,1500,1699,16th-17th century,Barbarians and Envoys Bring Tribute to the Emperor,Painting & Drawing,Chinese,http://static.thewalters.org/images/PL7_35.51_Fnt_BW_C37.jpg
29,430,panel paintings; triptychs,8,Renaissance and Baroque Art,1495,1519,ca. 1507,St. Sebastian,Painting & Drawing,"Monaldo Trofi (Italian, 1480-1537)",http://static.thewalters.org/images/PL7_37.689_Fnt_BW.jpg
30,431,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Mountain Lake,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.183_Fnt_DD_KI13.jpg
31,438,drawings (visual works),7,18th and 19th Century Art,1810,1874,mid 19th century,Woman Carrying Jug Through Portal,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2737_Fnt_DD_KI13.jpg
32,456,paintings,7,18th and 19th Century Art,1867,1867,1867,Interior of a Tavern,Painting & Drawing,"Fran\xc3\xa7ois Bonvin (French, 1817-1887)",http://static.thewalters.org/images/PL1_37.837_Fnt_TR_C80II.jpg
33,459,albums (books); paintings; folios (leaves),1,East Asian Art,1860,1880,1860-1880,"Scene from the Novel ""The Red Chamber Dream""",Painting & Drawing,"Qian Hui'an (Chinese, 1833-1911)",http://static.thewalters.org/images/PL7_35.101.L_Fnt_SL.jpg
34,468,emakimono; handscrolls,1,East Asian Art,1501,1700,16th-17th century,Chung K'uei and a Procession of Demons,Painting & Drawing,Chinese,http://static.thewalters.org/images/PL2_35.50_Fnt_NF_C37.jpg
35,475,color woodcuts,1,East Asian Art,1864,1864,1864,Chushin gishi meimei den,Prints,"Yoshitora (Japanese, active ca. 1850-1880)",http://static.thewalters.org/images/PS3_95.820_Fnt_DD_JP09.jpg
36,478,oil paintings (visual works),8,Renaissance and Baroque Art,1475,1499,ca. 1487,Madonna and Child,Painting & Drawing,"Antonio Badile II (Italian, ca. 1424 - 1507/12)",None
37,491,color woodcuts,1,East Asian Art,1835,1859,ca. 1847-1850,Sono sugata Murasaki no utsushi-e,Prints,"Utagawa Toyokuni III (Japanese, 1786-1864)",http://static.thewalters.org/images/PS3_95.470_Fnt_DD_JP09.jpg
38,493,color woodcuts; triptychs,1,East Asian Art,1890,1890,1890,Ikkatsu shokugariba tojo,Prints,"Kunisada III (Japanese, 1848-1920)",http://static.thewalters.org/images/PL2_95.325_Fnt_BW_T95.jpg
39,494,albums (books); drawings; watercolors,7,18th and 19th Century Art,1825,1870,1825-1870,Capt- Nor 'Nor'West,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2510.13_Fnt_DD_KI13.jpg
40,504,oil paintings (visual works),7,18th and 19th Century Art,1875,1875,1875,"View at H\xc3\xa9risson, Allier",Painting & Drawing,"Henri-Joseph Harpignies (French, 1819-1916)",http://static.thewalters.org/images/PL2_37.181_Fnt_BW_H67.jpg
41,512,albums (books); drawings; watercolors,7,18th and 19th Century Art,1825,1870,1825-1870,Street Sketch. Washing Steps.,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2468.18_Fnt_DD_KI13.jpg
42,523,drawings (visual works),7,18th and 19th Century Art,1810,1874,mid 19th century,View of a Horse through a Window (Recto); Woman in Hat (Verso),Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2692_Back_DD_KI13.jpg
43,554,paintings; portraits,8,Renaissance and Baroque Art,1533,1557,ca. 1545,Portrait of a Woman in a Leopard Cloak,Painting & Drawing,"Jan Cornelis Vermeyen (Dutch, ca. 1500-ca. 1559) (?)",http://static.thewalters.org/images/PL9_37.370_Fnt_SL_C80.jpg
44,559,panel paintings; reliquaries,12,Medieval Art,1360,1369,1360-1369,New Testament and Apocryphal Scenes with Saints,Painting & Drawing,"Simone dei Crocifissi (Italian, active 1355-1399)",http://static.thewalters.org/images/PL2_37.723_Fnt_NF_C39.jpg
45,569,woodblock prints,1,East Asian Art,1845,1846,1845-46,Tokaido gojusan tsui,Prints,"Ando Hiroshige (Japanese, 1797-1858)",http://static.thewalters.org/images/PS3_95.562_Fnt_DD_JP09.jpg
46,575,oil paintings (visual works); panel paintings,7,18th and 19th Century Art,1801,1900,19th century,The Important Response,Painting & Drawing,"Florent Willems (Belgian, 1823-1905)",http://static.thewalters.org/images/PL1_37.140_Fnt_TR_T96II.jpg
47,585,icons,12,Medieval Art,1500,1599,16th century,Christ Pantokrator,Painting & Drawing,Russian,http://static.thewalters.org/images/PS1_37.1065B_Fnt_DD_T15-tms.jpg
48,597,oil paintings (visual works); portraits,7,18th and 19th Century Art,1868,1868,1868,Portrait of Napoleon III,Painting & Drawing,"Adolphe Yvon (French, 1817-1893)",http://static.thewalters.org/images/PL7_37.95_Fnt_TR_C80IV.jpg
49,607,drawings (visual works),7,18th and 19th Century Art,1810,1874,mid 19th century,Small Wooden Cottage,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2697_Fnt_DD_KI13.jpg
50,631,albums (books),1,East Asian Art,0,0,n.d.,Leaf from Album Depicting Small Birds,Painting & Drawing,Japanese,http://static.thewalters.org/images/PS1_35.172.3_Fnt_DD_T09.jpg
51,637,oil paintings (visual works),7,18th and 19th Century Art,1871,1871,1871,A Roman Emperor: 41 AD,Painting & Drawing,"Sir Lawrence Alma-Tadema, R.A., O.M. (Anglo-Dutch, 1836-1912)",http://static.thewalters.org/images/PS1_37.165_Fnt_DD_T16-tms.jpg
52,663,sensul; paintings; books; illuminated manuscripts,16,African Art,1675,1700,late 17th century,Gondarine sensul,Painting & Drawing,Ethiopian,http://static.thewalters.org/images/PL1_36.10_Opn_TR_T01II.jpg
53,678,watercolors (paintings),7,18th and 19th Century Art,1863,1863,1863,Vase of Wild Flowers,Painting & Drawing,"L\xc3\xa9on Bonvin (French, 1834-1866)",http://static.thewalters.org/images/PS1_37.1527_Fnt_DD_T12.jpg
54,687,icons,12,Medieval Art,1500,1599,16th century,St. John the Almsgiver and St. Cyril of Alexandria,Painting & Drawing,Russian,http://static.thewalters.org/images/PL7_37.1200_Fnt_NF_H60.jpg
55,695,oil paintings (visual works); panel paintings,8,Renaissance and Baroque Art,1588,1627,ca. 1600-1615,The Infant Christ Sleeping,Painting & Drawing,"Bartolomeo Schedoni (Italian, 1578-1615)",http://static.thewalters.org/images/PL9_37.611_Fnt_BW.jpg
56,713,color woodcuts,1,East Asian Art,1896,1896,1896,Nihon hana zue,Prints,"Ogata Gekko (Japanese, 1859 - 1920)",http://static.thewalters.org/images/PS3_95.209_Fnt_DD_JP09.jpg
57,716,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,"A ""Surround"" of Buffalo by Indians",Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PL1_37.1940.200_Fnt_TR_T02II.jpg
58,777,drawings (visual works),7,18th and 19th Century Art,1865,1865,1865,Adoration of the Magi,Painting & Drawing,"Isidore Patrois (French, 1815-1884)",http://static.thewalters.org/images/PS1_37.1401_Fnt_DD_T09.jpg
59,804,albums (books); watercolors,7,18th and 19th Century Art,1855,1859,1855-1859,Prince Charles Edward (Disguised as a Lady's Maid to Flora McDonald),Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2453.45_Fnt_DD_KI13.jpg
60,827,drawings (visual works),7,18th and 19th Century Art,1800,1899,19th century,Don with Wild Team,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2553.6_Fnt_DD_KI13.jpg
61,868,woodblock prints,1,East Asian Art,1822,1828,1822-1828,Arashi Kitsusaburo II Attacks Fujikawa Tomokichi I,Prints,"Ashiyuki (Japanese, active ca. 1814-1833)",http://static.thewalters.org/images/PS3_95.125_Fnt_DD_JP09.jpg
62,880,color woodcuts,1,East Asian Art,1797,1858,1797-1858,"Geisha ""Ryoko"" on a Boat",Prints,"Ando Hiroshige (Japanese, 1797-1858)",http://static.thewalters.org/images/PS3_95.66_Fnt_DD_JP09.jpg
63,888,oil paintings (visual works); panel paintings,8,Renaissance and Baroque Art,1608,1642,ca. 1620-1630,Saint Jerome in the Wilderness,Painting & Drawing,"Angelo Caroselli (Italian, 1585-1652)",http://static.thewalters.org/images/PS1_37.1910_Fnt_DD_T10.jpg
64,918,color woodcuts,1,East Asian Art,1899,1899,1899,Nogaku zue,Prints,"Sakamaki Kogyo (Japanese, 1869-1927)",http://static.thewalters.org/images/PS3_95.280_Fnt_DD_JP09.jpg
65,926,albums (books); paintings; folios (leaves),1,East Asian Art,1876,1876,1876,"Leaf from Album Depicting Birds, Flowers, Landscapes, and Flower Pots",Painting & Drawing,"Yoshizawa Setsuan (Japanese, 1809-1889)",http://static.thewalters.org/images/PS3_35.174.4B_Fnt_DD_T09.jpg
66,938,oil paintings (visual works),7,18th and 19th Century Art,1864,1864,1864,The Evening Star,Painting & Drawing,"Jean-Baptiste-Camille Corot (French, 1796-1875)",http://static.thewalters.org/images/PL1_37.154_Fnt_TR_C80II.jpg
67,941,watercolors (paintings),7,18th and 19th Century Art,1870,1870,1870,The Rare Vase,Painting & Drawing,"Mariano Jos\xc3\xa9 Mar\xc3\xada Bernardo Fortuny y Carbo (Spanish, 1838-1874)",http://static.thewalters.org/images/PL1_37.148_Fnt_TR_T02II.jpg
68,944,color woodcuts,1,East Asian Art,1847,1848,1847-1848,Seichu gishi den,Prints,"Utagawa Kuniyoshi (Japanese, 1798-1861)",http://static.thewalters.org/images/PS3_95.53_Fnt_DD_JP09.jpg
69,947,miniatures (paintings),65,South and Southeast Asian Art,1663,1687,ca. 1675,Wild Boar Hunt,Painting & Drawing,Indian,http://static.thewalters.org/images/PL1_F.349_Det_TR_AJ98IV.jpg
70,978,paintings,8,Renaissance and Baroque Art,1593,1593,1593,Portrait of A Young Man,Painting & Drawing,Spanish,http://static.thewalters.org/images/PL2_37.1190_Fnt_BW_H71.jpg
71,1012,oil paintings (visual works),7,18th and 19th Century Art,1857,1857,1857,The Willows of Marissel,Painting & Drawing,"Jean-Baptiste-Camille Corot (French, 1796-1875)",http://static.thewalters.org/images/PL1_37.194_Fnt_TR_T05V.jpg
72,1013,oil paintings (visual works),7,18th and 19th Century Art,1885,1885,1885,"Portrait of Barye with a Wax Model of ""Seated Lion""",Painting & Drawing,"L\xc3\xa9on Bonnat (French, 1833-1922)",http://static.thewalters.org/images/PL1_37.757_Fnt_TR_T05III.jpg
73,1016,oil paintings (visual works),8,Renaissance and Baroque Art,1468,1507,ca. 1480-1495,Altarpiece with the Passion of Christ: Arrest of Christ,Painting & Drawing,German,http://static.thewalters.org/images/PL1_37.667_Fnt_TR_T01II.jpg
74,1028,paintings,7,18th and 19th Century Art,1875,1899,4th quarter 19th century,Good Friends (Puppy and Kitten),Painting & Drawing,"John Henry Dolph (American, 1835-1903)",http://static.thewalters.org/images/PS1_37.1992_Fnt_T13.jpg
75,1045,color woodcuts,1,East Asian Art,1835,1848,ca. 1847-1848,Seichu Oboshi ichidai banashi,Prints,"Utagawa Toyokuni III (Japanese, 1786-1864)",http://static.thewalters.org/images/PS3_95.525_Fnt_DD_JP09.jpg
76,1078,watercolors (paintings),7,18th and 19th Century Art,1860,1860,1860,Soldier Assisting a Priest,Painting & Drawing,"Hippolyte Bellang\xc3\xa9 (French, 1800-1866)",http://static.thewalters.org/images/ARG_37.1368_Fnt_BW.jpg
77,1082,albums (books); drawings; watercolors,7,18th and 19th Century Art,1825,1870,1825-1870,Incident of a Voyage to New Orleans,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2519.2_Fnt_DD_KI13.jpg
78,1092,paintings; tangkas; tankas; thangkas; thankas,65,South and Southeast Asian Art,1700,1799,18th century,Offering Tangka of Protector Deity Palden Remati,Painting & Drawing,Tibetan (?),http://static.thewalters.org/images/ARG_F.124_Fnt_UK.jpg
79,1095,color woodcuts,1,East Asian Art,1892,1892,1892,Nihon hana zue,Prints,"Ogata Gekko (Japanese, 1859 - 1920)",http://static.thewalters.org/images/PS3_95.202_Fnt_DD_JP09.jpg
80,1130,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Picketing Horses,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.178_Fnt_DD_KI13.jpg
81,1134,color woodcuts,1,East Asian Art,1854,1899,1854-1899,Kinsei eiyu kagami,Prints,"Shigekiyo (Japanese, active 1854-1899)",http://static.thewalters.org/images/PS3_95.383_Fnt_DD_JP09.jpg
82,1193,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Indian Courtship,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS1_37.1940.168_Fnt_DD_T06.jpg
83,1194,watercolors (paintings),7,18th and 19th Century Art,1858,1882,ca. 1870,A Patriarch,Painting & Drawing,"James Tissot (French, 1836-1902)",http://static.thewalters.org/images/ARG_37.2009_Fnt_BW.jpg
84,1203,paintings,65,South and Southeast Asian Art,1890,1920,early 20th century,Battle Scene,Painting & Drawing,Thai,http://static.thewalters.org/images/PS1_35.229_Fnt_DD_T17-tms.jpg
85,1210,color woodcuts,1,East Asian Art,1788,1831,ca. 1800-1831,Shunko shichi fuku asobi,Prints,Utamaro II (Japanese),http://static.thewalters.org/images/PS3_95.677_Fnt_DD_JP09.jpg
86,1242,paintings,7,18th and 19th Century Art,1838,1862,ca. 1850,Self-Portrait,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS1_37.2556_Fnt_DD_T13.jpg
87,1260,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Lake Scene,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.154_Fnt_DD_KI13.jpg
88,1274,albums (books); drawings; watercolors,7,18th and 19th Century Art,1825,1870,1825-1870,The Two Friends,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2468.21_Fnt_DD_KI13.jpg
89,1277,color woodcuts,1,East Asian Art,1788,1825,ca. 1800-1825,Hachi mai uri no uchi,Prints,"Toyokuni (Japanese, 1769-1825)",http://static.thewalters.org/images/PS3_95.297_Fnt_DD_JP091.jpg
90,1291,panel paintings,8,Renaissance and Baroque Art,1446,1496,ca. 1471,Saint Francis Receiving the Stigmata,Painting & Drawing,"Marco di Ruggero known as Marco Zoppo (Italian, ca. 1432-ca. 1478)",http://static.thewalters.org/images/PL1_37.544_Fnt_TR_T93III.jpg
91,1297,color woodcuts,1,East Asian Art,1860,1860,1860,Festival,Prints,"Utagawa Toyokuni III (Japanese, 1786-1864)",http://static.thewalters.org/images/PS3_95.481_Fnt_DD_JP09.jpg
92,1320,paintings,8,Renaissance and Baroque Art,1500,1520,1500-1520,Madonna and Child with Four Saints,Painting & Drawing,Florentine (Italian),http://static.thewalters.org/images/PL7_37.692_Fnt_BW_H74.jpg
93,1329,woodblock prints,1,East Asian Art,1881,1881,1881,Tokyo kaika kyoga meisho,Prints,"Taiso Yoshitoshi (Japanese, 1839-1892)",http://static.thewalters.org/images/PS3_95.615_Fnt_DD_JP09.jpg
94,1330,watercolors (paintings),7,18th and 19th Century Art,1850,1850,1850,Zouave,Painting & Drawing,"Isidore Pils (French, 1813/1815-1875)",http://static.thewalters.org/images/ARG_37.952_Fnt_BW.jpg
95,1334,panel paintings,12,Medieval Art,1340,1349,1340-1349,The Last Judgment and the Crucifixion,Painting & Drawing,"Jacopo del Casentino (Italian, 1279-ca. 1358)",http://static.thewalters.org/images/ARG_37.722_Fnt_UK.jpg
96,1338,icons; iconostasis,12,Medieval Art,1501,1600,16th century,Great Deesis with Prophets,Painting & Drawing,Russian,http://static.thewalters.org/images/PL1_37.625_Fnt_TR_T01IV.jpg
97,1377,portraits; oil paintings,8,Renaissance and Baroque Art,1557,1557,1557,Portrait of Marquess Massimiliano Stampa,Painting & Drawing,"Sofonisba Anguissola (Italian, ca. 1532-1625)",http://static.thewalters.org/images/PL1_37.1016_Fnt_TR_T87IIIA.jpg
98,1416,paintings,7,18th and 19th Century Art,1762,1771,1762-1771,View of Constantinople,Painting & Drawing,"Style of Antoine de Favray (French, 1706-ca. 1791)",http://static.thewalters.org/images/PS1_37.2769_Fnt_DD_T11.jpg
99,1425,paintings; tangkas; tankas; thangkas; thankas,65,South and Southeast Asian Art,1700,1799,18th century,Mandala of a Goddess,Painting & Drawing,Tibetan,http://static.thewalters.org/images/PS1_35.318_Fnt_DD_T16-tms.jpg
100,1435,color woodcuts,1,East Asian Art,1819,1819,1819 (?),Leaf from Hokusai Manga,Prints,Eirakuya Toshiro (?),http://static.thewalters.org/images/PS3_95.149_Fnt_DD_JP09.jpg
101,1441,paintings,7,18th and 19th Century Art,1887,1887,1887,The Nantucket School of Philosophy,Painting & Drawing,"Eastman Johnson (American, 1824-1906)",http://static.thewalters.org/images/PS1_37.311_Fnt_DD_T13.jpg
102,1458,reliquaries; diptychs; altarpieces,12,Medieval Art,1343,1382,ca. 1355-1370,Wing of a Reliquary Diptych with the Crucifixion and Saints,Painting & Drawing,"Tommaso da Modena (Italian, 1325/9-before 1379)",http://static.thewalters.org/images/PS1_37.1686_Fnt_DD_T09.jpg
103,1463,kakemono; scroll paintings,1,East Asian Art,1368,1644,1368-1644,Winter Landscape in the Style of Li Shan,Painting & Drawing,Chinese,http://static.thewalters.org/images/PS1_35.11_Fnt_DD_T09.jpg
104,1468,albums (books); watercolors,7,18th and 19th Century Art,1855,1859,1855-1859,Gabriel Ravel as Simon,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2453.29_Fnt_DD_KI13.jpg
105,1471,color woodcuts,1,East Asian Art,1899,1899,1899,Nogaku zue,Prints,"Sakamaki Kogyo (Japanese, 1869-1927)",http://static.thewalters.org/images/PS3_95.258_Fnt_DD_JP09.jpg
106,1482,oil paintings (visual works),8,Renaissance and Baroque Art,1708,1732,ca. 1720,Allegory of Winter,Painting & Drawing,"Sebastiano Conca (Italian, ca. 1680-1764)",http://static.thewalters.org/images/PL9_37.1791_Fnt_BW_H70.jpg
107,1490,paintings,8,Renaissance and Baroque Art,1620,1629,1620-1629,River Landscape with Mining,Painting & Drawing,"Martin Rykaert (Flemish, 1587-1631)",http://static.thewalters.org/images/PL1_37.1730_Fnt_SL.jpg
108,1498,paintings,7,18th and 19th Century Art,1828,1828,1828,Chapel in the Mountains,Painting & Drawing,"Louis-Jules-Frederic Villeneuve (French, 1796-1842)",http://static.thewalters.org/images/ARG_37.1327_Fnt_BW.jpg
109,1511,drawings (visual works),7,18th and 19th Century Art,1820,1820,1820,Girl Washing Laundry,Painting & Drawing,"Carl Weber (German, 1823-1916)",http://static.thewalters.org/images/PL7_37.1262_Fnt_BW_C82.jpg
110,1520,color woodcuts,1,East Asian Art,1881,1881,1881,Kokoku nijushiko,Prints,"Taiso Yoshitoshi (Japanese, 1839-1892)",http://static.thewalters.org/images/PS3_95.346_Fnt_DD_JP09.jpg
111,1522,drawings (visual works),7,18th and 19th Century Art,1810,1874,mid 19th century,Mount Hope,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2694_Fnt_DD_KI13.jpg
112,1530,color woodcuts,1,East Asian Art,1899,1899,1899,Nogaku zue,Prints,"Sakamaki Kogyo (Japanese, 1869-1927)",http://static.thewalters.org/images/PS3_95.247_Fnt_DD_JP09.jpg
113,1542,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Formations of Rock,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.87_Fnt_DD_KI13.jpg
114,1545,woodblock prints; triptychs,1,East Asian Art,1832,1856,ca. 1844,Dan-no-ura tataki no zu,Prints,"Utagawa Kuniyoshi (Japanese, 1798-1861)",http://static.thewalters.org/images/PL2_95.330_Fnt_BW_T93.jpg
115,1550,watercolors (paintings),7,18th and 19th Century Art,1830,1835,early 1830s,Large Lion,Painting & Drawing,"Antoine-Louis Barye (French, 1795 - 1875)",http://static.thewalters.org/images/PS1_37.827_Fnt_DD_T10.jpg
116,1564,oil paintings (visual works),8,Renaissance and Baroque Art,1470,1500,1470-1500,The Martyrdom of St. Barbara,Painting & Drawing,"Master of the Joseph Sequence (South Netherlandish, active ca. 1495-1500)",http://static.thewalters.org/images/ARG_37.778_Fnt_UK.jpg
117,1574,oil paintings (visual works),8,Renaissance and Baroque Art,1708,1732,ca. 1720,Allegory of Spring,Painting & Drawing,"Sebastiano Conca (Italian, ca. 1680-1764)",http://static.thewalters.org/images/PL9_37.1724_Fnt_BW_H70.jpg
