order,ObjectID,ObjectName,CollectionID,Collection,DateBeginYear,DateEndYear,DateText,Title,Classification,Creator,PrimaryImage
1454,18060,panel paintings,8,Renaissance and Baroque Art,1470,1499,1470-1499,Madonna and Child Enthroned Before a Rose Hedge,Painting & Drawing,Marchigian (Italian),http://static.thewalters.org/images/PL7_37.457_Fnt_BW_H74.jpg
1455,18087,color woodcuts,1,East Asian Art,1864,1864,1864,Chushin gishi meimei den,Prints,"Yoshitora (Japanese, active ca. 1850-1880)",http://static.thewalters.org/images/PS3_95.818_Fnt_DD_JP09.jpg
1456,18101,watercolors (paintings),7,18th and 19th Century Art,1863,1863,1863,Goblet with Forget-me-nots,Painting & Drawing,"L\xc3\xa9on Bonvin (French, 1834-1866)",http://static.thewalters.org/images/PS1_37.1655_FntCc_DD_T12-2.jpg
1457,18116,wall paintings,4,Ancient Art,-1279,-1200,ca. 1250-1200 BC,Wall Painting: Woman Holding a Sistrum,Painting & Drawing,Egyptian,http://static.thewalters.org/images/PL1_32.9_Fnt_TR_T03IV.jpg
1458,18119,paintings,8,Renaissance and Baroque Art,1613,1637,ca. 1625,Holy Family Departing for Egypt,Painting & Drawing,"Peeter van Avont (Flemish, 1600-1652)",http://static.thewalters.org/images/PL1_37.1197_Fnt_TR_T84III.jpg
1459,18133,oil paintings (visual works),8,Renaissance and Baroque Art,1670,1680,1670-1680,The Baptism of Christ,Painting & Drawing,Venetian (Italian),http://static.thewalters.org/images/ARG_37.2408_Fnt_BW.jpg
1460,18201,watercolors (paintings),7,18th and 19th Century Art,1870,1875,1870-1875,The Lawyers,Painting & Drawing,"Honor\xc3\xa9 Daumier (French, 1808-1879)",http://static.thewalters.org/images/PL1_37.1229_Fnt_TR_T98II.jpg
1461,18209,oil paintings (visual works),7,18th and 19th Century Art,1880,1889,1880-1889,Lake View,Painting & Drawing,"Alfred Thompson Bricher (American, 1837-1908)",http://static.thewalters.org/images/PS1_37.2525_Fnt_DD_T13.jpg
1462,18216,paintings,8,Renaissance and Baroque Art,1388,1422,ca. 1400-1410,Madonna and Child with the Four Evangelists,Painting & Drawing,"Andrea di Bartolo (Italian, active 1389-1428)",http://static.thewalters.org/images/ARG_37.717_Fnt_UK.jpg
1463,18219,drawings (visual works),7,18th and 19th Century Art,1864,1864,1864,Arab Standing in Prayer,Painting & Drawing,"Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me (French, 1824-1904)",http://static.thewalters.org/images/PL1_37.1305_Fnt_TR_T02.jpg
1464,18232,albums (books); folios (leaves); paintings,1,East Asian Art,1675,1699,ca. 1687,Chanting Poems in Leisure Among Pines,Painting & Drawing,"Zha Shibiao (Chinese, 1615-1698)",http://static.thewalters.org/images/PS1_35.208A_Fnt_DD_T09.jpg
1465,18275,paintings,7,18th and 19th Century Art,1842,1842,1842,Odalisque with Slave,Painting & Drawing,"Jean-Auguste-Dominique Ingres (French, 1780-1867)",http://static.thewalters.org/images/PL1_37.887_Fnt_TR_T92IB.jpg
1466,18278,paintings,8,Renaissance and Baroque Art,1635,1640,1635-1640,Portrait of a Young Man,Painting & Drawing,"Cornelius Johnson (English, 1593-1661)",http://static.thewalters.org/images/PL9_37.1202_Fnt_SL_T.jpg
1467,18286,albums (books); folios (leaves); paintings,1,East Asian Art,1748,1749,1748-1749,Landscape,Painting & Drawing,Ch'ing-yen T'ang Tai,http://static.thewalters.org/images/PS1_35.196.7A_Fnt_DD_T09.jpg
1468,18298,panel paintings,8,Renaissance and Baroque Art,1465,1515,ca. 1490,The Myth of Io,Painting & Drawing,"Bartolomeo di Giovanni (Italian, active 1488-ca. 1500)",http://static.thewalters.org/images/PL1_37.421_Fnt_TR_T87III.jpg
1469,18300,paintings,8,Renaissance and Baroque Art,1540,1549,1540-1549,Adoration of the Magi,Painting & Drawing,"Pieter Coecke van Aelst, the elder (Flemish, 1502-1550)",http://static.thewalters.org/images/PS1_37.254_Fnt_DD_T15-tms.jpg
1470,18307,color woodcuts; triptychs,1,East Asian Art,0,0,1876,Triptych: Surprise Attack,Prints,"Chikashige (Japanese, active ca. 1850-1890)",http://static.thewalters.org/images/PS1_95.696_Fnt_DD_AST18-tms.jpg
1471,18310,watercolors (paintings),7,18th and 19th Century Art,1875,1875,1875,Seville,Painting & Drawing,"Mart\xc3\xadn Rico y Ortega (Spanish, 1833-1908)",http://static.thewalters.org/images/PL1_37.972_Fnt_TR_TII.jpg
1472,18326,oil paintings (visual works); panel paintings,8,Renaissance and Baroque Art,1515,1520,1515-1520,Saint Claire of Assisi,Painting & Drawing,"Benedetto Coda (Italian, ca. 1460-ca. 1520)",http://static.thewalters.org/images/PL7_37.1084_Fnt_BW.jpg
1473,18329,oil paintings (visual works),7,18th and 19th Century Art,1863,1887,ca. 1875,The Story of a Battle,Painting & Drawing,"Mih\xc3\xa1ly Munk\xc3\xa1csy (Hungarian, 1844-1900)",http://static.thewalters.org/images/PL1_37.60_Fnt_TR_T99III.jpg
1474,18341,color woodcuts,1,East Asian Art,1864,1942,1864-1942,Children Playing; View of Mt. Fuji,Prints,"Takeuchi Seiho (Japanese, 1864-1942)",http://static.thewalters.org/images/PS3_95.494_Fnt_DD_JP09.jpg
1475,18345,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Indian Guide,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.55_Fnt_DD_KI13.jpg
